id,name,duration,path,call_type,call_status,work_code,created_at,agent_info
657,EC8062651106750742023102322043657.wav,00:06:57,media/1698392938/EC8062651106750742023102322043657.wav,ptcl,In Progress,,2023-10-27 07:48:58,
656,EC8062651106764982023102322003570.wav,00:02:55,media/1698392938/EC8062651106764982023102322003570.wav,ptcl,In Progress,,2023-10-27 07:48:58,
655,EC8062651106773152023102321594725.wav,00:00:03,media/1698392938/EC8062651106773152023102321594725.wav,ptcl,In Progress,,2023-10-27 07:48:58,
654,EC8062551045002023102322070639.wav,00:03:11,media/1698392937/EC8062551045002023102322070639.wav,ptcl,In Progress,,2023-10-27 07:48:58,
653,EC8062551045002023102322122117.wav,00:02:11,media/1698392938/EC8062551045002023102322122117.wav,ptcl,In Progress,,2023-10-27 07:48:58,
652,EC8062551045002023102322012640.wav,00:00:25,media/1698392937/EC8062551045002023102322012640.wav,ptcl,In Progress,,2023-10-27 07:48:57,
651,EC8062551045002023102321563762.wav,00:02:27,media/1698392937/EC8062551045002023102321563762.wav,ptcl,In Progress,,2023-10-27 07:48:57,
650,EC8062551045002023102322004348.wav,00:00:25,media/1698392937/EC8062551045002023102322004348.wav,ptcl,In Progress,,2023-10-27 07:48:57,
649,EC8062551045002023102321593402.wav,00:00:27,media/1698392937/EC8062551045002023102321593402.wav,ptcl,In Progress,,2023-10-27 07:48:57,
648,EC8060942717775792023102321582211.wav,00:01:38,media/1698392937/EC8060942717775792023102321582211.wav,ptcl,In Progress,,2023-10-27 07:48:57,
647,EC8062551045002023102321505241.wav,00:00:19,media/1698392937/EC8062551045002023102321505241.wav,ptcl,In Progress,,2023-10-27 07:48:57,
646,EC8060942717772242023102322084805.wav,00:13:07,media/1698392936/EC8060942717772242023102322084805.wav,ptcl,In Progress,,2023-10-27 07:48:57,
645,EC8060942717759682023102322033244.wav,00:02:43,media/1698392936/EC8060942717759682023102322033244.wav,ptcl,In Progress,,2023-10-27 07:48:56,
644,EC8060942717744042023102321542410.wav,00:02:28,media/1698392936/EC8060942717744042023102321542410.wav,ptcl,In Progress,,2023-10-27 07:48:56,
643,EC8060942717706552023102322014163.wav,00:00:31,media/1698392936/EC8060942717706552023102322014163.wav,ptcl,In Progress,,2023-10-27 07:48:56,
642,EC8060342612776942023102322141210.wav,00:03:30,media/1698392935/EC8060342612776942023102322141210.wav,ptcl,In Progress,,2023-10-27 07:48:56,
641,EC8060742785772852023102321544668.wav,00:04:19,media/1698392935/EC8060742785772852023102321544668.wav,ptcl,In Progress,,2023-10-27 07:48:56,
640,EC8060342612775882023102321473796.wav,00:01:15,media/1698392935/EC8060342612775882023102321473796.wav,ptcl,In Progress,,2023-10-27 07:48:56,
639,EC5978442029667782023102321464220.wav,00:52:44,media/1698392932/EC5978442029667782023102321464220.wav,ptcl,In Progress,,2023-10-27 07:48:55,
638,EC8060342612770222023102322085774.wav,00:02:00,media/1698392935/EC8060342612770222023102322085774.wav,ptcl,In Progress,,2023-10-27 07:48:55,
637,EC5982742586771252023102321483282.wav,00:03:33,media/1698392934/EC5982742586771252023102321483282.wav,ptcl,In Progress,,2023-10-27 07:48:55,
636,EC8060342612758362023102321593353.wav,00:03:57,media/1698392934/EC8060342612758362023102321593353.wav,ptcl,In Progress,,2023-10-27 07:48:55,
635,EC8060342612767462023102321545838.wav,00:02:16,media/1698392934/EC8060342612767462023102321545838.wav,ptcl,In Progress,,2023-10-27 07:48:55,
634,EC8060342612765372023102322053527.wav,00:01:03,media/1698392934/EC8060342612765372023102322053527.wav,ptcl,In Progress,,2023-10-27 07:48:54,
633,EC8060342612753112023102321503097.wav,00:03:02,media/1698392934/EC8060342612753112023102321503097.wav,ptcl,In Progress,,2023-10-27 07:48:54,
632,EC5982742586771092023102322155923.wav,00:00:46,media/1698392934/EC5982742586771092023102322155923.wav,ptcl,In Progress,,2023-10-27 07:48:54,
